Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Ad_Br_Fe_3	Unknown Library	0	31917814	0	0	0	6530839	0	0.204614	66947034
Ad_Br_Fe_4	Unknown Library	0	34399818	0	0	0	7899032	0	0.229624	62935476
Ad_Br_Ma_2	Unknown Library	0	46648626	0	0	0	9800237	0	0.210086	94857400
Ad_Br_Ma_4	Unknown Library	0	34769393	0	0	0	8079633	0	0.232378	62707504
Ad_Ey_Fe_3	Unknown Library	0	34275043	0	0	0	8538861	0	0.249128	56814833
Ad_Ey_Fe_4	Unknown Library	0	35268902	0	0	0	10403934	0	0.294989	47331865
Ad_Ey_Ma_2	Unknown Library	0	44889665	0	0	0	16164992	0	0.360105	46238040
Ad_Ey_Ma_3	Unknown Library	0	33875669	0	0	0	10319815	0	0.304638	43617001
Ad_Gi_Fe_1	Unknown Library	0	55176246	0	0	0	26053179	0	0.472181	38044329
Ad_Gi_Fe_2	Unknown Library	0	55557850	0	0	0	19009348	0	0.342154	61361096
Ad_Gi_Ma_1	Unknown Library	0	44107204	0	0	0	14909715	0	0.338034	49515710
Ad_Gi_Ma_2	Unknown Library	0	46084849	0	0	0	13340023	0	0.289467	63357726
Ad_Go_Fe_1	Unknown Library	0	45843167	0	0	0	20237241	0	0.441445	35136986
Ad_Go_Fe_2	Unknown Library	0	46168434	0	0	0	20771678	0	0.449911	34362141
Ad_Go_Ma_2	Unknown Library	0	47561899	0	0	0	9858349	0	0.207274	98259808
Ad_Go_Ma_3	Unknown Library	0	36269808	0	0	0	6568250	0	0.181094	87645750
Ad_He_Fe_1	Unknown Library	0	52006839	0	0	0	21532884	0	0.414039	43902096
Ad_He_Fe_2	Unknown Library	0	49185532	0	0	0	21477713	0	0.436667	38332201
Ad_He_Ma_1	Unknown Library	0	44258984	0	0	0	17088312	0	0.386098	41346921
Ad_He_Ma_2	Unknown Library	0	43809066	0	0	0	16747784	0	0.38229	41507098
Ad_In_Fe_1	Unknown Library	0	55687890	0	0	0	29937864	0	0.537601	30800778
Ad_In_Fe_2	Unknown Library	0	55364186	0	0	0	28041921	0	0.506499	33989293
Ad_In_Ma_1	Unknown Library	0	42827837	0	0	0	14381405	0	0.335796	48509834
Ad_In_Ma_2	Unknown Library	0	45447580	0	0	0	15120935	0	0.332712	52116387
Ad_Ki_Fe_1	Unknown Library	0	54473125	0	0	0	31107497	0	0.571061	26926946
Ad_Ki_Fe_2	Unknown Library	0	53682859	0	0	0	25393292	0	0.473024	36908411
Ad_Ki_Ma_1	Unknown Library	0	44614631	0	0	0	14488661	0	0.324751	52834658
Ad_Ki_Ma_2	Unknown Library	0	44641571	0	0	0	26170584	0	0.586238	20963504
Ad_Li_Fe_1	Unknown Library	0	55551897	0	0	0	35930384	0	0.64679	21151646
Ad_Li_Fe_2	Unknown Library	0	56039608	0	0	0	37391698	0	0.667237	19820721
Ad_Li_Ma_1	Unknown Library	0	41422501	0	0	0	24219194	0	0.584687	19554395
Ad_Li_Ma_2	Unknown Library	0	45957416	0	0	0	27716453	0	0.60309	20377315
Ad_Mu_Fe_1	Unknown Library	0	55111993	0	0	0	36026313	0	0.653693	20472625
Ad_Mu_Fe_2	Unknown Library	0	54551845	0	0	0	34923792	0	0.640195	21262508
Ad_Mu_Ma_1	Unknown Library	0	43752054	0	0	0	23449630	0	0.535966	24332022
Ad_Mu_Ma_2	Unknown Library	0	46471683	0	0	0	29091101	0	0.625996	19038425
Ad_Pi_Fe_1	Unknown Library	0	57497476	0	0	0	32756311	0	0.5697	28552622
Ad_Pi_Fe_2	Unknown Library	0	57148270	0	0	0	31380839	0	0.549113	30412026
Ad_Pi_Ma_1	Unknown Library	0	48594040	0	0	0	23776630	0	0.489291	31615106
Ad_Pi_Ma_2	Unknown Library	0	47724082	0	0	0	24419648	0	0.511684	28792735
Ad_Sp_Fe_1	Unknown Library	0	54483220	0	0	0	29200686	0	0.535957	30300903
Ad_Sp_Fe_2	Unknown Library	0	55784618	0	0	0	28170404	0	0.504985	34422275
Ad_Sp_Ma_1	Unknown Library	0	46660686	0	0	0	17440332	0	0.373769	45636513
Ad_Sp_Ma_2	Unknown Library	0	46425484	0	0	0	21187434	0	0.456375	33791372
Ad_St_Fe_1	Unknown Library	0	48490700	0	0	0	34979443	0	0.721364	13941559
Ad_St_Fe_2	Unknown Library	0	55119907	0	0	0	37275916	0	0.67627	18858170
Ad_St_Ma_1	Unknown Library	0	43834379	0	0	0	27757063	0	0.633226	17509661
Ad_St_Ma_2	Unknown Library	0	45665898	0	0	0	31074679	0	0.680479	15381150
Ju_Br_Mi_1	Unknown Library	0	43530735	0	0	0	10834969	0	0.248904	72236485
Ju_Br_Mi_2	Unknown Library	0	44730594	0	0	0	8953365	0	0.200162	96266945
Ju_Ey_Mi_1	Unknown Library	0	45311288	0	0	0	26092873	0	0.575858	22038582
Ju_Ey_Mi_2	Unknown Library	0	45962566	0	0	0	24376951	0	0.530365	26045663
Ju_Gi_Mi_1	Unknown Library	0	46178851	0	0	0	15134319	0	0.327733	54028712
Ju_Gi_Mi_2	Unknown Library	0	46611431	0	0	0	17866422	0	0.383306	43996384
Ju_Go_Mi_1	Unknown Library	0	46421563	0	0	0	18483447	0	0.398165	41492877
Ju_Go_Mi_2	Unknown Library	0	47285711	0	0	0	17593921	0	0.372077	46542789
Ju_He_Mi_1	Unknown Library	0	38006381	0	0	0	14246046	0	0.374833	37024212
Ju_He_Mi_2	Unknown Library	0	41063192	0	0	0	15726898	0	0.382993	38804380
Ju_In_Mi_1	Unknown Library	0	45774889	0	0	0	22762712	0	0.497275	28988794
Ju_In_Mi_2	Unknown Library	0	41797353	0	0	0	19543423	0	0.467576	29276163
Ju_Ki_Mi_1	Unknown Library	0	42791433	0	0	0	13592672	0	0.317649	52173936
Ju_Ki_Mi_2	Unknown Library	0	41966064	0	0	0	13139644	0	0.313102	52142858
Ju_Li_Mi_1	Unknown Library	0	45372886	0	0	0	27051025	0	0.596194	20597761
Ju_Li_Mi_2	Unknown Library	0	45408378	0	0	0	25350091	0	0.558269	23433227
Ju_Mu_Mi_1	Unknown Library	0	44158430	0	0	0	26657807	0	0.603686	19539753
Ju_Mu_Mi_2	Unknown Library	0	41091186	0	0	0	25553207	0	0.621866	17077791
